NAME,B01001_001,B01001_002,B02001_001,B02001_003,B19001_001,B19001_002,B19001_003,B19001_004,B19001_005,B19001_006,B19001_007,B19001_008,B29001_001,B29001_005
"Fairburn city, Georgia",14708,6205,14708,10450,4895,478,108,283,222,496,380,157,8371,952
"Fairmount city, Georgia",994,464,994,96,319,13,23,10,47,28,13,22,718,141
"Fair Oaks CDP, Georgia",9173,5162,9173,2634,3108,318,172,190,410,317,174,204,4181,361
"Fairview CDP, Georgia",6518,3340,6518,203,2464,241,138,183,237,136,154,54,4993,1232
"Fargo city, Georgia",273,146,273,56,96,15,10,1,9,8,0,5,174,44
"Fayetteville city, Georgia",17349,7803,17349,6172,6601,309,323,66,214,343,351,239,12866,3078
"Fitzgerald city, Georgia",8865,3871,8865,4696,3465,529,663,319,214,180,264,164,6456,1439
"Flemington city, Georgia",666,318,666,326,229,18,15,5,0,8,9,7,468,54
"Flovilla city, Georgia",878,457,878,379,294,11,50,2,32,39,10,15,695,140
"Flowery Branch city, Georgia",7151,3658,7151,585,2938,173,40,111,54,172,87,193,5391,830
"Folkston city, Georgia",4951,3180,4951,2085,1023,200,119,78,105,72,67,36,2855,353
"Forest Park city, Georgia",19483,9606,19483,8866,6420,349,714,674,512,540,437,467,11593,1889
"Forsyth city, Georgia",4054,1792,4054,2345,1522,247,194,117,139,35,39,92,2759,660
"Fort Gaines city, Georgia",1010,405,1010,802,371,122,26,26,41,21,7,9,682,147
"Fort Oglethorpe city, Georgia",9852,4414,9852,510,3991,174,214,312,394,234,192,271,7509,2152
"Fort Stewart CDP, Georgia",9326,5487,9326,2279,2455,108,84,60,144,283,268,327,5889,0
"Fort Valley city, Georgia",8740,4251,8740,6668,2894,634,239,340,367,153,133,134,6956,952
"Franklin city, Georgia",1001,401,1001,409,445,123,79,54,11,51,13,11,824,280
"Franklin Springs city, Georgia",900,581,900,117,244,15,9,26,6,6,14,23,768,188
"Funston city, Georgia",618,268,618,165,186,17,8,37,22,11,8,12,401,58
"Gainesville city, Georgia",38624,17748,38624,6360,12957,768,496,854,839,861,846,1006,20581,4864
"Garden City city, Georgia",8936,4604,8936,3452,3169,243,162,188,224,182,220,148,5360,1142
"Garfield city, Georgia",142,88,142,57,54,3,4,1,14,0,0,1,110,20
"Gay town, Georgia",87,44,87,0,31,1,0,0,0,0,0,6,63,14
"Geneva town, Georgia",162,108,162,132,59,0,7,0,11,0,3,9,147,39
"Georgetown CDP, Georgia",13469,6966,13469,4760,4987,43,94,142,121,303,310,315,9789,1081
"Georgetown-Quitman County unified government, Georgia",2276,1081,2276,1192,934,86,155,82,89,55,50,25,1776,597
"Gibson city, Georgia",696,363,696,92,238,42,35,3,16,5,10,15,574,173
"Gillsville city, Georgia",227,129,227,2,70,5,2,2,2,2,11,3,160,38
"Girard town, Georgia",188,84,188,83,61,12,5,13,6,4,0,1,120,23
"Glennville city, Georgia",5078,2937,5078,1807,1532,179,99,90,117,72,138,26,3805,626
"Glenwood city, Georgia",713,427,713,400,198,43,44,26,13,8,18,13,477,96
"Good Hope city, Georgia",364,130,364,20,185,8,12,5,55,8,12,11,312,91
"Gordon city, Georgia",2068,835,2068,1266,757,138,78,75,77,52,11,32,1368,347
"Graham city, Georgia",301,125,301,41,112,4,6,5,7,4,7,10,202,40
"Grantville city, Georgia",3219,1526,3219,980,1058,42,32,28,35,94,97,34,2227,235
"Gray city, Georgia",3261,1614,3261,697,1243,51,58,119,114,79,77,45,2471,586
"Grayson city, Georgia",3658,1660,3658,1152,1165,10,19,18,30,10,24,26,2546,696
"Greensboro city, Georgia",3356,1465,3356,2024,1294,144,215,110,141,39,75,75,2208,376
"Greenville city, Georgia",1093,465,1093,848,419,96,30,20,36,26,26,36,809,151
"Gresham Park CDP, Georgia",8694,4507,8694,6888,3061,300,145,187,135,249,157,107,7123,1335
"Griffin city, Georgia",22725,10612,22725,12596,8918,968,904,869,748,757,647,474,16498,2891
"Grovetown city, Georgia",13658,7085,13658,4276,4370,324,197,45,264,0,192,164,8663,812
"Gumbranch city, Georgia",209,98,209,0,85,8,7,4,8,6,7,5,155,37
"Gumlog CDP, Georgia",2236,1163,2236,81,924,81,89,80,57,56,18,16,1721,469
"Guyton city, Georgia",2309,1067,2309,709,656,18,17,51,40,17,34,6,1523,164
"Hagan city, Georgia",1141,482,1141,261,406,62,21,14,11,31,22,5,686,140
"Hahira city, Georgia",2923,1415,2923,355,940,119,27,71,52,76,49,39,1874,326
"Hamilton city, Georgia",1549,975,1549,486,423,26,2,33,14,18,32,0,979,89
"Hampton city, Georgia",7604,3373,7604,4234,2317,101,79,225,115,99,71,87,5145,649
"Hannahs Mill CDP, Georgia",3372,1773,3372,166,1260,138,98,55,100,134,48,84,2509,724
"Hapeville city, Georgia",6581,3331,6581,2588,2664,171,181,57,124,171,152,50,4110,724
"Haralson town, Georgia",165,81,165,13,70,7,6,5,5,0,3,1,131,22
"Hardwick CDP, Georgia",3431,1675,3431,2200,1472,289,150,213,159,135,24,87,2856,710
"Harlem city, Georgia",3054,1519,3054,661,966,42,29,54,23,60,90,39,2176,408
"Harrison town, Georgia",492,250,492,274,171,5,28,18,22,4,0,8,369,67
"Hartwell city, Georgia",4411,2019,4411,1375,1572,320,134,103,149,79,129,117,3206,1016
"Hawkinsville city, Georgia",5310,2048,5310,3083,1364,209,181,123,94,77,46,114,4355,781
